Date/Time,Word Count,en,pl
2023.10.22-21.40.23,322,322,0
2023.10.22-21.54.06,322,322,286
2023.10.22-21.59.58,328,328,286
2023.10.22-22.00.47,328,328,328
2024.01.07-22.47.58,481,481,328
2024.01.07-22.54.39,481,481,481
2024.01.11-21.38.07,451,451,419
2024.01.11-21.40.48,445,445,401
2024.01.11-21.47.55,445,445,399
2024.01.11-22.12.56,445,445,445
2024.01.11-23.34.45,473,473,445
2024.01.11-23.36.48,473,473,473
2024.01.25-03.12.28,473,473,444
2024.01.25-03.14.34,588,588,444
2024.01.25-03.18.04,579,579,450
2024.01.25-03.25.24,579,579,579
